episode,win,reward,length
1,0,-12270.345459006756,7355
2,1,-5218.419305145687,4307
3,1,51.1545447130849,418
4,0,-351.74052680792244,1242
5,1,37.671946394654206,689
6,1,50.031914054470356,469
7,1,-606.0640529625097,1686
8,0,-2605.1066424966602,2644
9,1,28.921310452270802,391
10,1,-96.54165578319554,970
11,1,-68.38461389396153,933
12,1,31.89439850811948,426
13,0,-164.64869196669667,1269
14,1,-232.62820315033215,1187
15,1,41.27253704039374,578
16,1,-7843.883711702864,5495
17,1,-1.4607268503464361,836
18,1,-34.99428707498185,1023
19,1,-789.293643014297,1486
20,1,27.775880982225473,863
21,0,-6405.306020983182,4452
22,0,-8923.479545494552,5763
23,1,-3136.7413749589523,2834
24,0,-3723.811509475704,3015
25,1,34.201746273958626,752
26,1,-245.9563170739151,1335
27,1,-728.8084082024543,1557
28,0,-163.67659903983568,1161
29,1,-8188.639883766425,4798
30,1,46.366807699025,816
31,1,-135.1373807526677,1144
32,1,-1814.3103684590972,2245
33,1,-67.56072218047059,905
34,1,29.486363552762704,527
35,1,27.953088703935975,480
36,0,-1666.3273687441351,2117
37,0,-2800.6224932605937,2698
38,1,35.85452778307995,602
39,1,-27.200815454473364,903
40,1,-663.7879452439023,1438
41,1,56.281911208579025,633
42,1,-3264.868691579159,2968
43,0,-109.98248766334662,1100
44,1,-1264.6031678221448,1925
45,1,-817.9863400827538,1557
46,1,54.01798185512411,342
47,1,40.26594662132099,631
48,1,56.49205608862809,654
49,1,-313.22897007004707,1368
50,1,-83.44247063578673,886
51,1,33.50354619861964,278
52,1,43.317583055892456,257
53,1,13.984573472985469,870
54,1,-230.72804304132782,1213
55,1,-49.453862937474476,939
56,1,-230.03623180561257,1351
57,1,40.97761042215413,652
58,1,24.47382462125411,950
59,0,-2590.5365158607674,2743
60,0,-1105.812003624769,1771
61,1,-58.21656827250973,1093
62,1,54.185954101953456,450
63,0,-7360.403902036433,5456
64,0,-5248.4604014739725,4225
65,1,39.240195295893095,746
66,1,28.94897482051514,329
67,1,-1629.3715571849523,2192
68,1,32.19882037320352,940
69,1,44.66846266208655,486
70,1,39.82163039294938,180
71,1,32.13663131320049,579
72,1,30.96328245354764,1079
73,1,47.196401163344035,385
74,0,-4939.761107535606,4120
75,1,-143.4093201658454,1136
76,1,-153.08046163832446,1230
77,1,32.98529379266827,228
78,1,43.18360522041448,680
79,1,36.11025458870737,621
80,1,41.81252111549466,390
81,1,43.606999240309406,683
82,1,-8.36999039521253,1028
83,1,-4168.3446016360285,3550
84,1,-32.79447625459111,1037
85,1,-340.9018359925032,1341
86,1,-42.627421729204684,1002
87,0,-7533.267860251558,5592
88,1,28.87320539534843,649
89,1,-321.2261599528339,1334
90,1,33.18819199050296,300
91,1,43.99642723335256,465
92,1,-272.32698361399713,1267
93,0,-97.244000896509,1097
94,1,25.60453564820832,298
95,1,40.70566427378888,397
96,1,42.36540495148567,567
97,0,-362.6309295388705,1209
98,1,-1607.052137581238,2151
99,0,-6851.8346450821255,5236
100,0,26.13189630707741,686
101,0,-1659.881933547783,2286
102,1,-344.9554407937625,1259
103,1,37.88531049015441,603
104,1,-598.9834462447795,1630
105,0,-387.8964440454089,1378
106,0,-12.613337784017835,778
107,1,-6542.923205750574,5178
108,1,28.801887154187035,677
109,1,3.1506622451375508,661
110,1,50.09649176825936,708
111,1,-33.89008120296968,798
112,0,-1815.2527967501771,2199
113,1,-232.50711654178502,1309
114,1,32.75834908859552,308
115,1,35.73085947957351,677
116,1,19.852556353179523,351
117,1,-297.9548785627785,1358
118,1,-293.36742749790335,1211
119,1,42.68514558841747,498
120,1,-988.3177958862927,1608
121,1,40.44820303322003,849
122,1,28.094771691988328,287
123,1,-3712.8728800787217,3333
124,0,-4056.913517333812,3737
125,1,52.040866765483734,603
126,1,-163.08819262226544,1208
127,1,35.49679181452069,827
128,1,45.39448244605186,725
129,1,-263.1799623182703,1285
130,0,-13.012484126211769,815
131,0,-69.33896338633866,989
132,1,-2879.5118206150382,2858
133,1,18.097893394391626,259
134,1,14.847565436866809,951
135,1,-50.02679293738993,1156
136,0,-7974.393399747636,5927
137,1,50.5387102745391,461
138,1,34.066313374834436,561
139,1,38.450154348665826,654
140,1,-442.9056079621882,1619
141,1,-2.015463049459182,884
142,1,41.415307906307596,396
143,1,-17.182019170050783,649
144,1,16.5118293478663,1129
145,1,38.04492979991727,620
146,1,-996.187335613601,2014
147,1,-11.804528690866475,756
148,1,17.975834833490154,761
149,1,25.606753686968567,550
150,1,30.319954808384864,567
151,1,42.33103720389362,331
152,1,53.413189955808726,549
153,1,32.40851564753225,358
154,1,21.762974167449556,597
155,1,-888.571871322282,1412
156,0,-10701.945680065292,6422
157,1,21.92559299523581,1012
158,1,-3333.798584880509,3262
159,1,-132.89060346282218,1377
160,1,-1806.8728558176374,1925
161,1,49.9683359164436,614
162,1,5.24358201876273,851
163,0,-7223.373640654374,5253
164,1,28.7965749466757,250
165,1,-2393.2389098470817,2766
166,1,27.47154709623658,1012
167,0,-2897.1577047283145,2730
168,0,-1118.3997039427086,2056
169,1,-3089.990906616218,2821
170,1,-2103.188742298014,2372
171,1,-75.72102814067155,1002
172,1,-1016.2153681553916,1625
173,1,-12.81226367764492,803
174,1,-8.159949944321047,725
175,1,19.554533329343464,730
176,1,26.63037958480885,907
177,1,-106.85070515077226,1200
178,1,18.239249311903905,603
179,1,-6836.625282260975,5181
180,1,14.385184747981821,335
181,1,-0.7697381506626382,760
182,1,-46.046574900706204,1130
183,1,51.55273106581986,923
184,1,-684.2628182888546,1827
185,1,4.429670536938554,549
186,1,20.10183536723661,734
187,1,35.636058775947475,566
188,1,62.09330911244422,804
189,1,50.00926636209085,531
190,1,50.940098041254295,369
191,1,38.77404045729504,386
192,0,-8204.372983529971,5687
193,0,32.588254055065015,626
194,1,-147.03731757748062,1343
195,1,21.032173773000594,706
196,1,-48.77094760464611,808
197,1,-131.74182905481095,1189
198,1,11.707224165300662,829
199,1,-81.6520897946173,881
200,1,-797.6603111432124,1851
201,1,28.89054515162635,313
202,1,-1050.7890603185385,1639
203,1,34.90422902661862,490
204,1,31.2815156060387,371
205,1,33.86351184377107,243
206,1,-174.26942229857846,1292
207,1,-5.785721285520042,874
208,1,29.36598649268789,584
209,1,37.21929008247486,452
210,1,40.26849221596169,389
211,1,-111.36690328810285,1040
212,1,38.339966881582065,410
213,1,-317.2449143778086,1325
214,1,13.234614247944727,719
215,1,11.92083627741908,333
216,1,-283.55251691333945,947
217,1,0.43916654356942253,662
218,1,19.516917224492957,211
219,1,-375.213483247821,1524
220,1,17.2450015458488,1020
221,1,-81.49986273957114,1156
222,1,24.98908260132537,805
223,1,-2701.8413673029713,2640
224,1,38.342630206596226,384
225,1,-30.569289050472754,713
226,1,-1674.8686260758489,1923
227,0,-10235.018229163557,6410
228,1,-52.63068554647388,955
229,0,-2087.301474887369,2211
230,1,5.928891230859823,919
231,1,9.686073947768815,917
232,0,-7212.754379357542,4984
233,1,28.192414731553516,374
234,1,25.9725404605109,330
235,1,25.230620626593844,772
236,1,2.0306706671602957,729
237,1,-37.34345880759878,910
238,1,-98.7996449367359,1046
239,1,-79.22277226358906,1135
240,1,-103.09666593702825,941
241,1,15.960629437428207,609
242,1,16.518495430970443,623
243,0,-11156.018095456115,6538
244,0,-6491.923224895109,4577
245,1,18.59042877969153,482
246,1,-85.71502469147859,903
247,1,-254.10424740116906,1097
248,1,-898.8568768689652,1702
249,1,33.58609905603069,472
250,1,-821.40969683527,1654
